Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Returns,,,,,
10-Sep-15,7729.05,7819.85,7678.5,7788.1,165313439,6992.42,0.000154069,,,,,
11-Sep-15,7833.8,7864.85,7759.9,7789.3,140576943,6014.16,0.01059292,,,,,
14-Sep-15,7811.1,7879.95,7761.85,7872.25,126630775,5277.75,-0.005496357,,,,,
15-Sep-15,7867.35,7880,7799.75,7829.1,140722007,6252.35,0.008907598,,,,,
16-Sep-15,7886.85,7913.9,7853.3,7899.15,144331414,6650.61,0.01042132,,,,,
18-Sep-15,7967.45,8055,7955.85,7981.9,249313429,11328.64,-0.000601541,,,,,
21-Sep-15,7911.5,7987.9,7908.35,7977.1,125628591,5482.45,-0.020913924,,,,,
22-Sep-15,8014.8,8021.6,7787.75,7812,173569429,7887.06,0.004336462,,,,,
23-Sep-15,7737.35,7882.9,7723.25,7845.95,151196367,6869.26,0.002869972,,,,,
24-Sep-15,7838.4,7894.5,7804.1,7868.5,208766516,9732.18,-0.009295147,,,,,
28-Sep-15,7892.8,7893.95,7787.95,7795.7,140480206,7120.05,0.006087365,,,,,
29-Sep-15,7725.7,7926.55,7691.2,7843.3,248106979,11184.67,0.01337389,,,,,
30-Sep-15,7924.25,7957.7,7874.5,7948.9,217187896,9981.56,0.000251575,,,,,
01-Oct-15,7992.05,8008.25,7930.65,7950.9,161809883,8896.78,0.020958814,,,,,
05-Oct-15,8005.1,8128.9,8005.1,8119.3,188830270,9589.63,0.004129749,,,,,
06-Oct-15,8180.45,8180.95,8096.5,8152.9,184037905,8461.64,0.003000559,,,,,
07-Oct-15,8146.2,8188.9,8132.9,8177.4,199911165,7894.19,-0.005893282,,,,,
08-Oct-15,8196.75,8196.75,8105.85,8129.35,177030502,7837.16,0.007396298,,,,,
09-Oct-15,8186.35,8232.2,8139.65,8189.7,205859184,7960.62,-0.005644924,,,,,
12-Oct-15,8231.5,8244.5,8128.2,8143.6,205255913,7604.3,-0.001462339,,,,,
13-Oct-15,8121.95,8150.25,8088.6,8131.7,150431773,6877.36,-0.002931109,,,,,
14-Oct-15,8102.4,8139.3,8096.35,8107.9,143158108,6607.21,0.008792129,,,,,
15-Oct-15,8134.35,8190.55,8129.8,8179.5,172429864,7625.17,0.00714478,,,,,
16-Oct-15,8193.65,8246.4,8147.65,8238.15,161153559,6956.78,0.004469159,,,,,
19-Oct-15,8262.55,8283.05,8239.2,8275.05,128300205,6880.43,-0.001620638,,,,,
20-Oct-15,8280.3,8294.05,8229.2,8261.65,159947752,7661.53,-0.001205086,,,,,
21-Oct-15,8258.35,8294.4,8217.15,8251.7,149270047,6689.35,0.005287932,,,,,
23-Oct-15,8308.25,8328.1,8280.75,8295.45,156664310,7466.28,-0.004216,,,,,
26-Oct-15,8333.65,8336.3,8252.05,8260.55,138006303,6799.49,-0.003352849,,,,,
27-Oct-15,8230.35,8241.95,8217.05,8232.9,161493491,8271.49,-0.007522545,,,,,
28-Oct-15,8188.9,8209.1,8131.8,8171.2,194708669,9131.44,-0.007302149,,,,,
29-Oct-15,8175.45,8179.6,8098,8111.75,224234135,10569.95,-0.005680727,,,,,
30-Oct-15,8123.55,8146.1,8044.4,8065.8,205663493,9218.39,-0.001861435,,,,,
02-Nov-15,8054.55,8060.7,7995.6,8050.8,140323983,6552.67,0.001228936,,,,,
03-Nov-15,8086.35,8100.35,8031.75,8060.7,136625382,5955.64,-0.002546443,,,,,
04-Nov-15,8104.9,8116.1,8027.3,8040.2,125935846,5696.01,-0.01059673,,,,,
05-Nov-15,8030.35,8031.2,7944.1,7955.45,136223827,6001.38,-0.000144565,,,,,
06-Nov-15,7956.55,8002.65,7926.15,7954.3,226329409,8771.77,-0.004927701,,,,,
09-Nov-15,7788.25,7937.75,7771.7,7915.2,218422388,9376.17,-0.016798125,,,,,
10-Nov-15,7877.6,7885.1,7772.85,7783.35,170267413,7153.47,0.0053369,,,,,
11-Nov-15,7838.8,7847.95,7819.1,7825,22380435,1123.44,-0.008051496,,,,,
13-Nov-15,7762.45,7775.1,7730.9,7762.25,165876819,7731.55,0.005697289,,,,,
16-Nov-15,7732.95,7838.85,7714.15,7806.6,154134885,6871.15,0.003956756,,,,,
17-Nov-15,7848.75,7860.45,7793,7837.55,149451211,6367.14,-0.013584591,,,,,
18-Nov-15,7823.15,7843.4,7725.05,7731.8,148037721,6112.32,0.014247844,,,,,
19-Nov-15,7788.5,7854.9,7765.45,7842.75,136702518,7410.15,0.001758041,,,,,
20-Nov-15,7841.9,7906.95,7817.8,7856.55,156610433,7298.01,-0.000929593,,,,,
23-Nov-15,7869.5,7877.5,7825.2,7849.25,130871603,6099.09,-0.002251154,,,,,
24-Nov-15,7837,7870.35,7812.65,7831.6,134562905,6686.27,0.00664319,,,,,
26-Nov-15,7837.15,7897.1,7832,7883.8,226632193,11054.04,0.007443247,,,,,
27-Nov-15,7910.6,7959.3,7879.45,7942.7,154863047,7068.72,-0.000938408,,,,,
30-Nov-15,7936.25,7966,7922.8,7935.25,223041699,15368.67,0.002473232,,,,,
01-Dec-15,7958.15,7972.15,7934.15,7954.9,142945421,6796.67,-0.00296483,,,,,
02-Dec-15,7976.7,7979.3,7910.8,7931.35,130207404,6242.53,-0.008508804,,,,,
03-Dec-15,7902.3,7912.3,7853.3,7864.15,129628400,5636.41,-0.010513933,,,,,
04-Dec-15,7817.6,7821.4,7775.7,7781.9,157231681,7758.36,-0.002122556,,,,,
07-Dec-15,7816.55,7825.4,7746.05,7765.4,141893279,6403.97,-0.008236885,,,,,
08-Dec-15,7738.5,7771.25,7685.45,7701.7,139318392,5986.06,-0.011649451,,,,,
09-Dec-15,7695.5,7702.85,7606.9,7612.5,144315690,6599.6,0.009257509,,,,,
10-Dec-15,7643.3,7691.95,7610,7683.3,145249292,6492.02,-0.00952684,,,,,
11-Dec-15,7699.6,7703.05,7575.3,7610.45,172996480,6894.44,0.005189881,,,,,
14-Dec-15,7558.2,7663.95,7551.05,7650.05,153492615,6290.42,0.006625021,,,,,
15-Dec-15,7659.15,7705,7625.1,7700.9,138479057,6152.14,0.006471761,,,,,
16-Dec-15,7725.25,7776.6,7715.75,7750.9,159149338,6703.76,0.011984562,,,,,
17-Dec-15,7783.05,7852.9,7737.55,7844.35,181256780,7367.15,-0.010559936,,,,,
18-Dec-15,7828.9,7836.15,7753.35,7761.95,197319843,8074.5,0.009297084,,,,,
21-Dec-15,7745.65,7840.75,7733.45,7834.45,130174102,5558.38,-0.006190583,,,,,
22-Dec-15,7829.4,7846.3,7776.85,7786.1,129633328,5028.11,0.010203225,,,,,
23-Dec-15,7830.45,7871.45,7826.1,7865.95,121480721,4663.45,-0.000623132,,,,,
24-Dec-15,7888.75,7888.75,7835.5,7861.05,96374245,3383.99,0.008121062,,,,,
28-Dec-15,7863.2,7937.2,7863,7925.15,126737811,5755.48,0.000479371,,,,,
29-Dec-15,7929.2,7942.15,7902.75,7928.95,116535971,4950.36,-0.004132655,,,,,
30-Dec-15,7938.6,7944.75,7889.85,7896.25,110145855,4392.87,0.006324741,,,,,
31-Dec-15,7897.8,7955.55,7891.15,7946.35,155645098,6780.85,0.002118225,,,,,
01-Jan-16,7938.45,7972.55,7909.8,7963.2,64843836,2613.91,-0.021823203,,,,,
04-Jan-16,7924.55,7937.55,7781.1,7791.3,138864905,5897.08,-0.000853881,,,,,
05-Jan-16,7828.4,7831.2,7763.25,7784.65,149672973,5948.51,-0.005622968,,,,,
06-Jan-16,7788.05,7800.95,7721.2,7741,151715828,6722.17,-0.022562407,,,,,
07-Jan-16,7673.35,7674.95,7556.6,7568.3,194732861,7803.21,0.004357392,,,,,
08-Jan-16,7611.65,7634.1,7581.05,7601.35,162348690,6753.57,-0.004945543,,,,,
11-Jan-16,7527.45,7605.1,7494.35,7563.85,194836791,7327.15,-0.007104908,,,,,
12-Jan-16,7587.2,7588.3,7487.8,7510.3,168975973,7071.48,0.006913188,,,,,
13-Jan-16,7557.9,7590.95,7425.8,7562.4,221908258,9585.17,-0.003390911,,,,,
14-Jan-16,7467.4,7604.8,7443.8,7536.8,206988549,9246.75,-0.013222583,,,,,
15-Jan-16,7561.65,7566.5,7427.3,7437.8,203643071,8279.07,-0.011738748,,,,,
18-Jan-16,7420.35,7463.65,7336.4,7351,240798183,8431.56,0.011375671,,,,,
19-Jan-16,7381.8,7462.75,7364.15,7435.1,194068339,7038.84,-0.01706452,,,,,
20-Jan-16,7357,7470.9,7241.5,7309.3,232614141,8794.16,-0.004456305,,,,,
21-Jan-16,7376.65,7398.7,7250,7276.8,248113284,9401.16,0.019817986,,,,,
22-Jan-16,7355.7,7433.4,7327.6,7422.45,236282061,7666.39,0.00184405,,,,,
25-Jan-16,7468.75,7487.15,7421.2,7436.15,168202502,5910.99,0.000215142,,,,,
27-Jan-16,7469.6,7477.9,7419.7,7437.75,193389891,6834.77,-0.001762838,,,,,
28-Jan-16,7426.5,7468.85,7409.6,7424.65,283036298,10049.88,0.018535111,,,,,
29-Jan-16,7413.35,7575.65,7402.8,7563.55,307934042,11277.33,-0.001005324,,,,,
01-Feb-16,7589.5,7600.45,7541.25,7555.95,206645021,8209.5,-0.013376611,,,,,
02-Feb-16,7566.65,7576.3,7428.05,7455.55,237338907,8030.99,-0.012654253,,,,,
03-Feb-16,7392.45,7419.4,7350.3,7361.8,197863301,6748.17,0.005715927,,,,,
04-Feb-16,7411.45,7457.05,7365.95,7404,229563364,7465.35,0.011428235,,,,,
05-Feb-16,7418.25,7503.15,7406.65,7489.1,257518899,8628.24,-0.013693089,,,,,
08-Feb-16,7489.7,7512.55,7363.2,7387.25,176758985,5746.45,-0.012127799,,,,,
09-Feb-16,7303.95,7323.45,7275.15,7298.2,218730280,7415.13,-0.011368535,,,,,
10-Feb-16,7264.3,7271.85,7177.75,7215.7,254481339,8129.65,,,,,,
